DFB Year,Region,Region Desc,Number of Fish,Species Code,Species Name,Management Area
1987,4,Westward Region,246775,440,"salmon, pink",L
1987,4,Westward Region,1212042,440,"salmon, pink",M
1987,4,Westward Region,680992,450,"salmon, chum",K
1987,4,Westward Region,127261,450,"salmon, chum",L
1987,4,Westward Region,1744583,450,"salmon, chum",M
1988,1,Southeastern Region,45727,410,"salmon, chinook",A
1988,1,Southeastern Region,60259,410,"salmon, chinook",B
1988,1,Southeastern Region,31105,410,"salmon, chinook",C
1988,1,Southeastern Region,106314,410,"salmon, chinook",D
1988,1,Southeastern Region,560507,420,"salmon, sockeye",A
1988,1,Southeastern Region,789554,420,"salmon, sockeye",B
1988,1,Southeastern Region,102527,420,"salmon, sockeye",C
1988,1,Southeastern Region,5780,420,"salmon, sockeye",D
1988,1,Southeastern Region,552100,430,"salmon, coho",A
1988,1,Southeastern Region,293318,430,"salmon, coho",B
1988,1,Southeastern Region,60031,430,"salmon, coho",C
1988,1,Southeastern Region,141126,430,"salmon, coho",D
1988,1,Southeastern Region,1127272,440,"salmon, pink",A
1988,1,Southeastern Region,8829199,440,"salmon, pink",B
1988,1,Southeastern Region,650629,440,"salmon, pink",C
1988,1,Southeastern Region,565390,440,"salmon, pink",D
1988,1,Southeastern Region,790319,450,"salmon, chum",A
1988,1,Southeastern Region,1984692,450,"salmon, chum",B
1988,1,Southeastern Region,284747,450,"salmon, chum",C
1988,1,Southeastern Region,475416,450,"salmon, chum",D
1988,2,Central Region,31804,410,"salmon, chinook",E
1988,2,Central Region,30774,410,"salmon, chinook",H
1988,2,Central Region,45345,410,"salmon, chinook",T
1988,2,Central Region,768244,420,"salmon, sockeye",E
1988,2,Central Region,7164900,420,"salmon, sockeye",H
1988,2,Central Region,13989457,420,"salmon, sockeye",T
1988,2,Central Region,472330,430,"salmon, coho",E
1988,2,Central Region,568509,430,"salmon, coho",H
1988,2,Central Region,202698,430,"salmon, coho",T
1988,2,Central Region,9643484,440,"salmon, pink",E
1988,2,Central Region,1395764,440,"salmon, pink",H
1988,2,Central Region,955587,440,"salmon, pink",T
1988,2,Central Region,1809375,450,"salmon, chum",E
1988,2,Central Region,1034806,450,"salmon, chum",H
1988,2,Central Region,1469644,450,"salmon, chum",T
1988,3,A-Y-K Region,74613,410,"salmon, chinook",W
1988,3,A-Y-K Region,152,410,"salmon, chinook",X
1988,3,A-Y-K Region,97706,410,"salmon, chinook",Y
1988,3,A-Y-K Region,4096,410,"salmon, chinook",Z
1988,3,A-Y-K Region,150458,420,"salmon, sockeye",W
1988,3,A-Y-K Region,1252,420,"salmon, sockeye",Z
1988,3,A-Y-K Region,626145,430,"salmon, coho",W
1988,3,A-Y-K Region,74280,430,"salmon, coho",Y
1988,3,A-Y-K Region,37247,430,"salmon, coho",Z
1988,3,A-Y-K Region,37670,440,"salmon, pink",W
1988,3,A-Y-K Region,,440,"salmon, pink",Y
1988,3,A-Y-K Region,74604,440,"salmon, pink",Z
1988,3,A-Y-K Region,1446504,450,"salmon, chum",W
1988,3,A-Y-K Region,352833,450,"salmon, chum",X
1988,3,A-Y-K Region,1177236,450,"salmon, chum",Y
1988,3,A-Y-K Region,107967,450,"salmon, chum",Z
1988,4,Westward Region,22394,410,"salmon, chinook",K
1988,4,Westward Region,7296,410,"salmon, chinook",L
1988,4,Westward Region,27880,410,"salmon, chinook",M
1988,4,Westward Region,2700611,420,"salmon, sockeye",K
1988,4,Westward Region,792416,420,"salmon, sockeye",L
1988,4,Westward Region,3006082,420,"salmon, sockeye",M
1988,4,Westward Region,303312,430,"salmon, coho",K
1988,4,Westward Region,370420,430,"salmon, coho",L
1988,4,Westward Region,739506,430,"salmon, coho",M
1988,4,Westward Region,14267331,440,"salmon, pink",K
1988,4,Westward Region,2997159,440,"salmon, pink",L
1988,4,Westward Region,7293175,440,"salmon, pink",M
1988,4,Westward Region,1426966,450,"salmon, chum",K
1988,4,Westward Region,267775,450,"salmon, chum",L
1988,4,Westward Region,2302034,450,"salmon, chum",M
1989,1,Southeastern Region,74718,410,"salmon, chinook",A
1989,1,Southeastern Region,65855,410,"salmon, chinook",B
1989,1,Southeastern Region,24580,410,"salmon, chinook",C
1989,1,Southeastern Region,107403,410,"salmon, chinook",D
1989,1,Southeastern Region,943499,420,"salmon, sockeye",A
1989,1,Southeastern Region,910354,420,"salmon, sockeye",B
1989,1,Southeastern Region,250068,420,"salmon, sockeye",C
1989,1,Southeastern Region,18187,420,"salmon, sockeye",D
1989,1,Southeastern Region,767425,430,"salmon, coho",A
1989,1,Southeastern Region,644755,430,"salmon, coho",B
1989,1,Southeastern Region,191879,430,"salmon, coho",C
1989,1,Southeastern Region,597500,430,"salmon, coho",D
1989,1,Southeastern Region,6607011,440,"salmon, pink",A
1989,1,Southeastern Region,42098988,440,"salmon, pink",B
1989,1,Southeastern Region,7864318,440,"salmon, pink",C
1989,1,Southeastern Region,2393624,440,"salmon, pink",D
1989,1,Southeastern Region,340888,450,"salmon, chum",A
